provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",issuance,Card issuance,"Same charge for Gold, Signature and Infinite cards (GHS)",0,one_off,,,,,bank,Free
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",commitment_fee,Commitment fee on credit limit/per annum,"Same charge for Gold, Signature and Infinite cards (GHS)",0,year,,,,,bank,Free
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",management_fee,Management fee on credit limit/per annum,"Same charge for Gold, Signature and Infinite cards (GHS)",0,year,,,,,bank,Free
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",monthly_maintenance,Monthly Maintenance Fee,"Same charge for Gold, Signature and Infinite cards (GHS)",0.00084,month,not_stated,,,min GHS 8.50,bank,0.084% (minimum GHS 8.50)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",cash_withdrawal_local,Cash withdrawal fee - At Other Ghanaian Banks' ATMs,"Same charge for Gold, Signature and Infinite cards (GHS)",0.01,per_transaction,amount,,,min GHS 6,bank,1.00% (minimum GHS 6.00)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",cash_withdrawal_abroad,Cash withdrawal fee - At ATMs Outside Ghana,"Same charge for Gold, Signature and Infinite cards (GHS)",0.03,per_transaction,amount,,,min GHS 12,bank,3.00% (minimum GHS 12.00)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",foreign_transactions,Currency Conversion fee (%),"Same charge for Gold, Signature and Infinite cards (GHS)",0.075,per_transaction,amount,,,,bank,7.5%
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",late_payment,Default/Late Repayment,"Same charge for Gold, Signature and Infinite cards (GHS)",,per_occurrence,,60,GHS,,bank,60 (GHS)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",over_limit,Over limit (overdrawn),"Same charge for Gold, Signature and Infinite cards (GHS)",,per_occurrence,,60,GHS,,bank,60 (GHS)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",payment_returned,Payment returned unpaid,"Same charge for Gold, Signature and Infinite cards (GHS)",,per_occurrence,,100,GHS,,bank,100 (GHS)
stanbic-bank-ghana,Credit Card - Tariff Guide.pdf,,1,credit_card,"Credit card (Gold, Signature, Infinite)",credit_protection,Credit Protection Plan [Monthly Fee],"Same charge for Gold, Signature and Infinite cards (GHS)",0.0006,month,not_stated,,,,bank,0.06%
